Espèce,Origine,Caractère,Trait distinctif,Niveau d'activité,Santé,Relations enfants,Entretien du pelage,Type de pelage,Robe et couleurs,Poids,Taille,Espérance de vie,Lien PNG
Abyssin,Égypte ancienne,"Actif, curieux",Marques tabby,Élevé,Robuste,Sociable,Modéré,Court,"Fauve, roux",3-5 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/abyssin.jpg
American Shorthair,États-Unis,"Amical, calme","Musclé, robuste",Modéré,Bonne,Excellent,Faible,Court,Variée,4-6 kg,Moyenne,15-20 ans,https://www.zoologiste.com//images/xl/chat/american-shorthair.jpg
Angora Turc,Turquie,"Doux, intelligent",Pelage long,Modéré,Sensible,Affectueux,Élevé,Long,Variée,3-5 kg,Moyenne,12-17 ans,https://www.zoologiste.com//images/xl/chat/angora-turc.jpg
Balinais,États-Unis,"Sociable, vocal",Pointes colorées,Élevé,Bonne,Amical,Modéré,Semi-long,Pointes variées,3-5 kg,Moyenne,15-20 ans,https://www.zoologiste.com//images/xl/chat/balinais.jpg
Bengal,États-Unis,"Énergique, joueur",Taches sauvages,Très élevé,Robuste,Actif,Faible,Court,"Léopard, marbré",4-7 kg,Grande,12-16 ans,https://www.zoologiste.com//images/xl/chat/bengal.jpg
Bleu Russe,Russie,"Calme, affectueux",Pelage bleu,Modéré,Bonne,Doux,Faible,Court,Bleu uni,3-4 kg,Moyenne,15-20 ans,https://www.zoologiste.com//images/xl/chat/bleu-russe.jpg
Bombay,États-Unis,"Sociable, joueur",Fourrure noire,Modéré,Bonne,Amical,Faible,Court,Noir uni,3-5 kg,Moyenne,14-16 ans,https://www.zoologiste.com//images/xl/chat/bombay.jpg
British Longhair,Royaume-Uni,"Calme, affectueux",Pelage dense,Faible,Robuste,Doux,Élevé,Long,Variée,5-7 kg,Grande,12-15 ans,https://www.zoologiste.com//images/xl/chat/british-longhair.jpg
British Shorthair,Royaume-Uni,"Calme, affectueux",Yeux ronds,Modéré,Robuste,Doux,Faible,Court,"Bleu, variée",4-7 kg,Grande,12-20 ans,https://www.zoologiste.com//images/xl/chat/british-shorthair.jpg
Burmese,Birmanie,"Sociable, affectueux",Yeux dorés,Modéré,Bonne,Excellent,Faible,Court,"Sable, noir",3-5 kg,Moyenne,16-18 ans,https://www.zoologiste.com//images/xl/chat/burmese.jpg
Burmilla,Royaume-Uni,"Joueur, doux",Miroir de Bengals,Élevé,Bonne,Amical,Faible,Court,"Argenté, noir",3-4 kg,Moyenne,12-16 ans,https://www.zoologiste.com//images/xl/chat/burmilla.jpg
Chartreux,France,"Calme, loyal",Pelage bleu,Modéré,Robuste,Doux,Faible,Semi-long,Bleu uni,4-7 kg,Grande,15-20 ans,https://www.zoologiste.com//images/xl/chat/chartreux.jpg
Cornish Rex,Royaume-Uni,"Actif, joueur",Pelage ondulé,Très élevé,Bonne,Sociable,Faible,Court,Variée,2-4 kg,Petite,12-16 ans,https://www.zoologiste.com//images/xl/chat/cornish-rex.jpg
Devon Rex,Royaume-Uni,"Curieux, affectueux",Oreilles larges,Élevé,Bonne,Amical,Faible,Court,Variée,2-4 kg,Petite,12-15 ans,https://www.zoologiste.com//images/xl/chat/devon-rex.jpg
European Shorthair,Europe,"Indépendant, adaptable",Pelage varié,Modéré,Robuste,Variable,Faible,Court,Diverses,3-6 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/european-shorthair.jpg
Exotic Shorthair,États-Unis,"Calme, affectueux",Visage plat,Faible,Sensible,Doux,Modéré,Court,Variée,4-6 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/exotic-shorthair.jpg
Havana Brown,Royaume-Uni,"Sociable, joueur",Pelage brun,Modéré,Bonne,Amical,Faible,Court,Brun,3-5 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/havana-brown.jpg
Japanese Bobtail,Japon,"Actif, affectueux",Queue courte,Élevé,Bonne,Sociable,Faible,Court,Variée,3-5 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/japanese-bobtail.jpg
Korat,Thaïlande,"Doux, affectueux",Pelage argenté,Modéré,Robuste,Sociable,Faible,Court,Bleu argenté,2-4 kg,Petite,12-15 ans,https://www.zoologiste.com//images/xl/chat/korat.jpg
LaPerm,États-Unis,"Sociable, joueur",Pelage bouclé,Modéré,Bonne,Amical,Élevé,Bouclé,Variée,3-5 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/laperm.jpg
Maine Coon,États-Unis,"Amical, doux",Taille imposante,Modéré,Robuste,Excellent,Élevé,Long,Variée,5-9 kg,Grande,12-15 ans,https://www.zoologiste.com//images/xl/chat/maine-coon.jpg
Munchkin,États-Unis,"Actif, joueur",Pattes courtes,Élevé,Variable,Sociable,Modéré,Court/long,Variée,2-4 kg,Petite,12-15 ans,https://www.zoologiste.com//images/xl/chat/munchkin.jpg
Norvégien,Norvège,"Indépendant, doux",Pelage épais,Modéré,Robuste,Amical,Élevé,Long,Variée,4-7 kg,Grande,14-16 ans,https://www.zoologiste.com//images/xl/chat/norvegien.jpg
Oriental Longhair,États-Unis,"Sociable, vocal",Oreilles grandes,Élevé,Bonne,Amical,Élevé,Long,Variée,3-5 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/oriental-longhair.jpg
Oriental Shorthair,États-Unis,"Sociable, vocal",Corps fin,Élevé,Bonne,Amical,Faible,Court,Variée,2-4 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/oriental-shorthair.jpg
Persan,Iran,"Calme, doux",Visage plat,Faible,Sensible,Doux,Élevé,Long,Variée,3-6 kg,Moyenne,12-17 ans,https://www.zoologiste.com//images/xl/chat/persan.jpg
Peterbald,Russie,"Sociable, actif",Peau fine,Élevé,Bonne,Amical,Faible,Variable,Variée,2-5 kg,Moyenne,12-15 ans,https://www.zoologiste.com//images/xl/chat/peterbald.jpg
Ragdoll,États-Unis,"Doux, docile",Couleurs pointées,Faible,Bonne,Excellent,Modéré,Semi-long,Pointes variées,4-9 kg,Grande,15-20 ans,https://www.zoologiste.com//images/xl/chat/ragdoll.jpg
